"Year.size","Plot","wregion","type","Year.size.next","Age","Year.planted","Location.x","Row","Position","Pop","unique.ID","size","sizeNext","surv","fec1","fec2","fec3","flowering","n.germ.sam","PAR","N","sm.t1","wplot","habitat","light","Stage","Ph.ave","mat","mt.warm.month","mt.coldest","mt.apr","mt.may","days0may","days0april","days0","longdays0","gdd","mmp","mp.april","mp.may","mt.driest","n.droughts.gs","long.drought.gs","n.germ.1","n.germ.0","n.germ.surv.1","n.germ.surv.0"
2009,"AFA",4,"field",2010,1,2009,"ME",1,3,"3","8133",8.433017117,4.363605821,1,NA,NA,NA,0,NA,1.00554556108632,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",3,7,"1","8371",9.094725605,5.749900182,1,NA,NA,NA,0,NA,1.21242382757607,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",3,1,"1","8311",8.866189418,6.196187285,1,NA,NA,NA,0,NA,0.473572875826976,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",2,5,"2","8252",8.746912886,6.45824381,1,NA,NA,NA,0,NA,0.975991523016356,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",6,4,"1","8641",8.269661055,8.406700948,1,NA,NA,NA,0,NA,0.828221332666539,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",4,6,"1","8461",8.197451045,6.811156684,1,NA,NA,NA,0,NA,0.975991523016356,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFA",4,"field",2010,1,2009,"ME",5,2,"1","8521",8.547333944,7.562380974,1,NA,NA,NA,0,NA,0.91688344687643,-0.536379849157287,-0.136272078790766,8,1,1.64132653539185,"continuous",0.0169602474550917,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field",2010,1,2009,"ME",4,4,"1","9441",8.866189418,8.608128899,1,NA,NA,NA,0,NA,-0.472156342411858,-0.161906809649648,-0.441039480015285,9,0,0.0571990988288651,"continuous",-0.391834170586202,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field",2010,1,2009,"ME",6,5,"2","9652",8.655468387,9.085313823,1,NA,NA,NA,0,NA,-0.590372494691712,-0.161906809649648,-0.441039480015285,9,0,0.0571990988288651,"continuous",-0.391834170586202,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
2009,"AFB",4,"field",2010,1,2009,"ME",2,5,"1","9251",8.107210175,8.631938704,1,NA,NA,NA,0,NA,-0.531264418551785,-0.161906809649648,-0.441039480015285,9,0,0.0571990988288651,"continuous",-0.391834170586202,-1.31146731911002,-0.711411160678124,-2.64411872655088,-0.672687649393143,-0.95745905600091,-0.310496176333942,-0.398363951700224,0.962360787881608,3.02179033621951,-0.849564501232116,-3.33042577880658,-3.30759686637981,-2.08126097330457,-1.81736336957925,-3.7770639008162,-0.732211776830484,NA,NA,NA,NA
