PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
B_18,1997,dead,675,B,18,0,0,0,0,0,,,N,N
B_4,1997,dead,676,B,4,0,0,0,0,0,,,N,N
C_1,1997,dead,677,C,1,0,0,0,0,0,,,N,N
C_10,1997,dead,678,C,10,0,0,0,0,0,,,N,N
C_15,1997,dead,679,C,15,0,0,0,0,0,,,N,N
C_19,1997,dead,680,C,19,0,0,0,0,0,,,N,N
C_20,1997,dead,681,C,20,0,0,0,0,0,,,N,N
C_25,1997,dead,682,C,25,0,0,0,0,0,,,N,N
D_11,1997,dead,683,D,11,0,0,0,0,0,,,N,N
D_15,1997,dead,684,D,15,0,0,0,0,0,,,N,N
D_29,1997,dead,685,D,29,0,0,0,0,0,,,N,N
D_3,1997,dead,686,D,3,0,0,0,0,0,,,N,N
D_7,1997,dead,687,D,7,0,0,0,0,0,,,N,N
E_1,1997,dead,688,E,1,0,0,0,0,0,,,N,N
E_14,1997,dead,689,E,14,0,0,0,0,0,,,N,N
F_18,1997,dead,690,F,18,0,0,0,0,0,,,N,N
F_19,1997,dead,691,F,19,0,0,0,0,0,,,N,N
F_2,1997,dead,692,F,2,0,0,0,0,0,,,N,N
F_8,1997,dead,693,F,8,0,0,0,0,0,,,N,N
G_4,1997,dead,694,G,4,0,0,0,0,0,,,N,N
G_8,1997,dead,695,G,8,0,0,0,0,0,,,N,N
H_1,1997,dead,696,H,1,0,0,0,0,0,,,N,N
H_12,1997,dead,697,H,12,0,0,0,0,0,,,N,N
H_17,1997,dead,698,H,17,0,0,0,0,0,,,N,N
H_7,1997,dead,699,H,7,0,0,0,0,0,,,N,N
I_2,1997,dead,700,I,2,0,0,0,0,0,,,N,N
I_4,1997,dead,701,I,4,0,0,0,0,0,,,N,N
D_27,1997,J,314,D,27,10,0,0,0,0,,,N,N
F_4,1997,J,326,F,4,9,0,0,0,0,,,N,N
D_10,1998,A1,376,D,10,20,26.7,18,2,123,,,N,N
E_12,1998,A1,391,E,12,12,26.7,0,0,0,,,N,N
E_5,1998,A1,386,E,5,18,26.7,18,2,123,,,N,N
F_1,1998,A1,392,F,1,18,26.7,18,2,123,,,N,N
F_13,1998,A1,396,F,13,16,26.7,18,2,123,,,N,N
F_15,1998,A1,397,F,15,16,26.7,5,1,111,,,N,N
G_11,1998,A1,402,G,11,15,26.7,5,1,111,,,N,N
G_12,1998,A1,403,G,12,16,26.7,5,1,111,,,N,N
H_11,1998,A1,408,H,11,15,26.7,5,1,111,,,N,N
H_19,1998,A1,410,H,19,18,26.7,18,2,123,,,N,N
B_10,1998,A2,360,B,10,25,476.6,18,2,123,,,N,N
B_14,1998,A2,361,B,14,28,476.6,18,2,123,,,N,N
C_22,1998,A2,369,C,22,25,476.6,18,2,123,,,N,N
C_26,1998,A2,371,C,26,28,476.6,5,1,111,,,N,N
C_5,1998,A2,364,C,5,25,476.6,18,2,123,,,N,N
C_9,1998,A2,365,C,9,26,476.6,18,2,123,,,N,N
D_16,1998,A2,378,D,16,27,476.6,18,2,123,,,N,N
D_19,1998,A2,380,D,19,25,476.6,18,2,123,,,N,N
D_24,1998,A2,381,D,24,29,476.6,18,2,123,,,N,N
D_26,1998,A2,382,D,26,24,476.6,18,2,123,,,N,N
D_6,1998,A2,374,D,6,23,476.6,18,2,123,,,N,N
E_10,1998,A2,389,E,10,27,476.6,38,3,227,,,N,N
E_2,1998,A2,384,E,2,23,476.6,18,2,123,,,N,N
E_8,1998,A2,387,E,8,26,476.6,18,2,123,,,N,N
F_20,1998,A2,398,F,20,24,476.6,18,2,123,,,N,N
F_5,1998,A2,393,F,5,21,476.6,18,2,123,,,N,N
G_1,1998,A2,400,G,1,22,476.6,18,2,123,,,N,N
G_9,1998,A2,401,G,9,27,476.6,38,3,227,,,N,N
H_16,1998,A2,409,H,16,28,476.6,38,3,227,,,N,N
H_8,1998,A2,406,H,8,25,476.6,18,2,123,,,N,N
I_5,1998,A2,411,I,5,30,476.6,18,2,123,,,N,N
I_9,1998,A2,413,I,9,23,476.6,5,1,111,,,N,N
B_1,1998,A3,355,B,1,34,668.1,38,3,227,,,N,N
B_7,1998,A3,358,B,7,40,668.1,38,3,227,,,N,N
C_16,1998,A3,367,C,16,31,668.1,18,2,123,,,N,N
C_23,1998,A3,370,C,23,37,668.1,18,2,123,,,N,N
D_18,1998,A3,379,D,18,40,668.1,38,3,227,,,N,N
D_4,1998,A3,373,D,4,31,668.1,18,2,123,,,N,N
D_8,1998,A3,375,D,8,37,668.1,181,4,312,,,N,N
E_3,1998,A3,385,E,3,31,668.1,38,3,227,,,N,N
F_12,1998,A3,395,F,12,40,668.1,38,3,227,,,N,N
F_22,1998,A3,399,F,22,33,668.1,38,3,227,,,N,N
H_4,1998,A3,405,H,4,38,668.1,38,3,227,,,N,N
H_9,1998,A3,407,H,9,36,668.1,181,4,312,,,N,N
I_8,1998,A3,412,I,8,35,668.1,38,3,227,,,N,N
A_2,1998,A4,352,A,2,52,1860,181,4,312,,,N,N
A_3,1998,A4,353,A,3,42,1860,38,3,227,,,N,N
A_5,1998,A4,354,A,5,51,1860,181,4,312,,,N,N
B_19,1998,A4,362,B,19,43,1860,38,3,227,,,N,N
B_5,1998,A4,356,B,5,47,1860,181,4,312,,,N,N
B_6,1998,A4,357,B,6,54,1860,181,4,312,,,N,N
B_9,1998,A4,359,B,9,45,1860,181,4,312,,,N,N
C_12,1998,A4,366,C,12,56,1860,181,4,312,,,N,N
C_18,1998,A4,368,C,18,48,1860,38,3,227,,,N,N
C_4,1998,A4,363,C,4,42,1860,38,3,227,,,N,N
D_1,1998,A4,372,D,1,48,1860,181,4,312,,,N,N
D_14,1998,A4,377,D,14,45,1860,181,4,312,,,N,N
D_28,1998,A4,383,D,28,51,1860,181,4,312,,,N,N
E_11,1998,A4,390,E,11,43,1860,38,3,227,,,N,N
E_9,1998,A4,388,E,9,45,1860,181,4,312,,,N,N
F_6,1998,A4,394,F,6,41,1860,181,4,312,,,N,N
H_3,1998,A4,404,H,3,44,1860,181,4,312,,,N,N
C_17,1998,dead,702,C,17,0,0,0,0,0,,,N,N
C_8,1998,dead,703,C,8,0,0,0,0,0,,,N,N
D_27,1998,dead,704,D,27,0,0,0,0,0,,,N,N
E_7,1998,dead,705,E,7,0,0,0,0,0,,,N,N
F_11,1998,dead,706,F,11,0,0,0,0,0,,,N,N
F_4,1998,dead,707,F,4,0,0,0,0,0,,,N,N
F_9,1998,dead,708,F,9,0,0,0,0,0,,,N,N
H_13,1998,dead,709,H,13,0,0,0,0,0,,,N,N
H_2,1998,dead,710,H,2,0,0,0,0,0,,,N,N
C_22,1999,A1,430,C,22,20,26.7,5,1,111,,,N,N
D_10,1999,A1,437,D,10,12,26.7,0,0,0,,,N,N
G_1,1999,A1,459,G,1,17,26.7,18,2,123,,,N,N
G_11,1999,A1,461,G,11,12,26.7,0,0,0,,,N,N
G_12,1999,A1,462,G,12,18,26.7,18,2,123,,,N,N
H_11,1999,A1,467,H,11,19,26.7,18,2,123,,,N,N
H_3,1999,A1,463,H,3,12,26.7,0,0,0,,,N,N
I_9,1999,A1,472,I,9,12,26.7,0,0,0,,,N,N
A_3,1999,A2,415,A,3,28,476.6,18,2,123,,,N,N
B_19,1999,A2,423,B,19,26,476.6,5,1,111,,,N,N
C_9,1999,A2,426,C,9,22,476.6,5,1,111,,,N,N
D_26,1999,A2,442,D,26,27,476.6,18,2,123,,,N,N
E_10,1999,A2,449,E,10,30,476.6,38,3,227,,,N,N
E_2,1999,A2,444,E,2,28,476.6,18,2,123,,,N,N
E_5,1999,A2,446,E,5,26,476.6,18,2,123,,,N,N
E_8,1999,A2,447,E,8,25,476.6,18,2,123,,,N,N
F_1,1999,A2,451,F,1,24,476.6,38,3,227,,,N,N
F_13,1999,A2,455,F,13,27,476.6,18,2,123,,,N,N
F_15,1999,A2,456,F,15,25,476.6,18,2,123,,,N,N
F_20,1999,A2,457,F,20,30,476.6,38,3,227,,,N,N
F_5,1999,A2,452,F,5,23,476.6,18,2,123,,,N,N
H_16,1999,A2,468,H,16,27,476.6,18,2,123,,,N,N
H_19,1999,A2,469,H,19,21,476.6,5,1,111,,,N,N
H_8,1999,A2,465,H,8,26,476.6,18,2,123,,,N,N
A_2,1999,A3,414,A,2,39,668.1,38,3,227,,,N,N
B_10,1999,A3,421,B,10,35,668.1,38,3,227,,,N,N
B_14,1999,A3,422,B,14,31,668.1,18,2,123,,,N,N
B_7,1999,A3,419,B,7,33,668.1,5,1,111,,,N,N
C_16,1999,A3,428,C,16,38,668.1,38,3,227,,,N,N
C_18,1999,A3,429,C,18,37,668.1,18,2,123,,,N,N
C_23,1999,A3,431,C,23,37,668.1,38,3,227,,,N,N
C_26,1999,A3,432,C,26,40,668.1,18,2,123,,,N,N
C_5,1999,A3,425,C,5,37,668.1,38,3,227,,,N,N
D_16,1999,A3,439,D,16,34,668.1,38,3,227,,,N,N
D_18,1999,A3,440,D,18,32,668.1,18,2,123,,,N,N
D_24,1999,A3,441,D,24,34,668.1,38,3,227,,,N,N
D_4,1999,A3,434,D,4,35,668.1,38,3,227,,,N,N
D_6,1999,A3,435,D,6,40,668.1,38,3,227,,,N,N
E_11,1999,A3,450,E,11,37,668.1,18,2,123,,,N,N
E_3,1999,A3,445,E,3,40,668.1,38,3,227,,,N,N
E_9,1999,A3,448,E,9,40,668.1,38,3,227,,,N,N
F_22,1999,A3,458,F,22,37,668.1,181,4,312,,,N,N
F_6,1999,A3,453,F,6,40,668.1,181,4,312,,,N,N
G_9,1999,A3,460,G,9,35,668.1,38,3,227,,,N,N
H_4,1999,A3,464,H,4,40,668.1,181,4,312,,,N,N
H_9,1999,A3,466,H,9,31,668.1,38,3,227,,,N,N
I_5,1999,A3,470,I,5,34,668.1,38,3,227,,,N,N
I_8,1999,A3,471,I,8,37,668.1,181,4,312,,,N,N
A_5,1999,A4,416,A,5,46,1860,181,4,312,,,N,N
B_5,1999,A4,417,B,5,42,1860,38,3,227,,,N,N
B_6,1999,A4,418,B,6,42,1860,38,3,227,,,N,N
B_9,1999,A4,420,B,9,48,1860,181,4,312,,,N,N
C_12,1999,A4,427,C,12,50,1860,38,3,227,,,N,N
C_4,1999,A4,424,C,4,51,1860,181,4,312,,,N,N
D_1,1999,A4,433,D,1,45,1860,38,3,227,,,N,N
D_14,1999,A4,438,D,14,48,1860,181,4,312,,,N,N
D_28,1999,A4,443,D,28,46,1860,181,4,312,,,N,N
D_8,1999,A4,436,D,8,55,1860,181,4,312,,,N,N
F_12,1999,A4,454,F,12,46,1860,181,4,312,,,N,N
B_1,1999,dead,711,B,1,0,0,0,0,0,,,N,N
D_19,1999,dead,712,D,19,0,0,0,0,0,,,N,N
E_12,1999,dead,713,E,12,0,0,0,0,0,,,N,N
C_12,2000,A1,483,C,12,13,26.7,5,1,111,,,N,N
E_8,2000,A1,500,E,8,17,26.7,5,1,111,,,N,N
F_13,2000,A1,508,F,13,20,26.7,5,1,111,,,N,N
G_12,2000,A1,512,G,12,12,26.7,0,0,0,,,N,N
H_11,2000,A1,516,H,11,16,26.7,18,2,123,,,N,N
H_19,2000,A1,518,H,19,11,26.7,0,0,0,,,N,N
B_14,2000,A2,480,B,14,30,476.6,38,3,227,,,N,N
B_5,2000,A2,475,B,5,22,476.6,18,2,123,,,N,N
B_6,2000,A2,476,B,6,29,476.6,18,2,123,,,N,N
B_7,2000,A2,477,B,7,22,476.6,0,0,0,,,N,N
C_18,2000,A2,485,C,18,30,476.6,18,2,123,,,N,N
C_23,2000,A2,486,C,23,29,476.6,5,1,111,,,N,N
D_18,2000,A2,494,D,18,23,476.6,18,2,123,,,N,N
D_26,2000,A2,496,D,26,30,476.6,18,2,123,,,N,N
E_11,2000,A2,503,E,11,21,476.6,38,3,227,,,N,N
F_1,2000,A2,504,F,1,23,476.6,18,2,123,,,N,N
F_20,2000,A2,509,F,20,25,476.6,18,2,123,,,N,N
F_22,2000,A2,510,F,22,23,476.6,5,1,111,,,N,N
F_5,2000,A2,505,F,5,25,476.6,5,1,111,,,N,N
G_9,2000,A2,511,G,9,27,476.6,18,2,123,,,N,N
H_16,2000,A2,517,H,16,28,476.6,18,2,123,,,N,N
H_8,2000,A2,514,H,8,30,476.6,38,3,227,,,N,N
H_9,2000,A2,515,H,9,26,476.6,18,2,123,,,N,N
B_10,2000,A3,479,B,10,37,668.1,18,2,123,,,N,N
B_9,2000,A3,478,B,9,31,668.1,18,2,123,,,N,N
C_16,2000,A3,484,C,16,34,668.1,18,2,123,,,N,N
C_5,2000,A3,482,C,5,38,668.1,18,2,123,,,N,N
D_1,2000,A3,488,D,1,34,668.1,18,2,123,,,N,N
D_14,2000,A3,492,D,14,36,668.1,18,2,123,,,N,N
D_16,2000,A3,493,D,16,33,668.1,18,2,123,,,N,N
D_24,2000,A3,495,D,24,31,668.1,18,2,123,,,N,N
D_4,2000,A3,489,D,4,36,668.1,18,2,123,,,N,N
D_8,2000,A3,491,D,8,39,668.1,18,2,123,,,N,N
E_2,2000,A3,498,E,2,31,668.1,18,2,123,,,N,N
E_3,2000,A3,499,E,3,39,668.1,38,3,227,,,N,N
E_9,2000,A3,501,E,9,37,668.1,38,3,227,,,N,N
F_6,2000,A3,506,F,6,31,668.1,38,3,227,,,N,N
H_4,2000,A3,513,H,4,35,668.1,38,3,227,,,N,N
I_5,2000,A3,519,I,5,31,668.1,18,2,123,,,N,N
I_8,2000,A3,520,I,8,40,668.1,181,4,312,,,N,N
A_2,2000,A4,473,A,2,42,1860,38,3,227,,,N,N
A_5,2000,A4,474,A,5,42,1860,38,3,227,,,N,N
C_26,2000,A4,487,C,26,42,1860,38,3,227,,,N,N
C_4,2000,A4,481,C,4,42,1860,18,2,123,,,N,N
D_28,2000,A4,497,D,28,45,1860,38,3,227,,,N,N
D_6,2000,A4,490,D,6,41,1860,38,3,227,,,N,N
E_10,2000,A4,502,E,10,46,1860,181,4,312,,,N,N
F_12,2000,A4,507,F,12,42,1860,38,3,227,,,N,N
A_3,2000,dead,714,A,3,0,0,0,0,0,,,N,N
B_19,2000,dead,715,B,19,0,0,0,0,0,,,N,N
C_22,2000,dead,716,C,22,0,0,0,0,0,,,N,N
C_9,2000,dead,717,C,9,0,0,0,0,0,,,N,N
D_10,2000,dead,718,D,10,0,0,0,0,0,,,N,N
E_5,2000,dead,719,E,5,0,0,0,0,0,,,N,N
F_15,2000,dead,720,F,15,0,0,0,0,0,,,N,N
G_1,2000,dead,721,G,1,0,0,0,0,0,,,N,N
G_11,2000,dead,722,G,11,0,0,0,0,0,,,N,N
H_3,2000,dead,723,H,3,0,0,0,0,0,,,N,N
I_9,2000,dead,724,I,9,0,0,0,0,0,,,N,N
D_16,2001,A1,538,D,16,17,26.7,18,2,123,,,N,N
B_9,2001,A2,524,B,9,25,476.6,5,1,111,,,N,N
C_18,2001,A2,530,C,18,26,476.6,5,1,111,,,N,N
D_18,2001,A2,539,D,18,25,476.6,18,2,123,,,N,N
D_24,2001,A2,540,D,24,24,476.6,18,2,123,,,N,N
D_8,2001,A2,536,D,8,21,476.6,5,1,111,,,N,N
E_11,2001,A2,547,E,11,23,476.6,18,2,123,,,N,N
F_1,2001,A2,548,F,1,30,476.6,38,3,227,,,N,N
F_13,2001,A2,552,F,13,24,476.6,18,2,123,,,N,N
F_22,2001,A2,554,F,22,25,476.6,18,2,123,,,N,N
H_11,2001,A2,559,H,11,25,476.6,18,2,123,,,N,N
I_5,2001,A2,561,I,5,22,476.6,18,2,123,,,N,N
B_14,2001,A3,526,B,14,32,668.1,38,3,227,,,N,N
B_6,2001,A3,523,B,6,33,668.1,38,3,227,,,N,N
C_16,2001,A3,529,C,16,38,668.1,38,3,227,,,N,N
D_1,2001,A3,533,D,1,32,668.1,38,3,227,,,N,N
D_14,2001,A3,537,D,14,36,668.1,38,3,227,,,N,N
D_26,2001,A3,541,D,26,35,668.1,38,3,227,,,N,N
E_2,2001,A3,543,E,2,37,668.1,38,3,227,,,N,N
F_20,2001,A3,553,F,20,36,668.1,38,3,227,,,N,N
F_5,2001,A3,549,F,5,33,668.1,18,2,123,,,N,N
F_6,2001,A3,550,F,6,34,668.1,38,3,227,,,N,N
G_9,2001,A3,555,G,9,34,668.1,38,3,227,,,N,N
H_16,2001,A3,560,H,16,34,668.1,38,3,227,,,N,N
H_4,2001,A3,556,H,4,38,668.1,181,4,312,,,N,N
H_8,2001,A3,557,H,8,40,668.1,181,4,312,,,N,N
H_9,2001,A3,558,H,9,31,668.1,38,3,227,,,N,N
I_8,2001,A3,562,I,8,31,668.1,38,3,227,,,N,N
A_2,2001,A4,521,A,2,50,1860,181,4,312,,,N,N
A_5,2001,A4,522,A,5,52,1860,181,4,312,,,N,N
B_10,2001,A4,525,B,10,46,1860,181,4,312,,,N,N
C_23,2001,A4,531,C,23,42,1860,38,3,227,,,N,N
C_26,2001,A4,532,C,26,58,1860,181,4,312,,,N,N
C_4,2001,A4,527,C,4,48,1860,38,3,227,,,N,N
C_5,2001,A4,528,C,5,45,1860,38,3,227,,,N,N
D_28,2001,A4,542,D,28,52,1860,181,4,312,,,N,N
D_4,2001,A4,534,D,4,42,1860,181,4,312,,,N,N
D_6,2001,A4,535,D,6,44,1860,181,4,312,,,N,N
E_10,2001,A4,546,E,10,43,1860,181,4,312,,,N,N
E_3,2001,A4,544,E,3,51,1860,181,4,312,,,N,N
E_9,2001,A4,545,E,9,47,1860,181,4,312,,,N,N
F_12,2001,A4,551,F,12,41,1860,181,4,312,,,N,N
B_5,2001,dead,725,B,5,0,0,0,0,0,,,N,N
B_7,2001,dead,726,B,7,0,0,0,0,0,,,N,N
C_12,2001,dead,727,C,12,0,0,0,0,0,,,N,N
E_8,2001,dead,728,E,8,0,0,0,0,0,,,N,N
G_12,2001,dead,729,G,12,0,0,0,0,0,,,N,N
H_19,2001,dead,730,H,19,0,0,0,0,0,,,N,N
B_14,2002,A1,566,B,14,17,26.7,5,1,111,,,N,N
C_16,2002,A1,569,C,16,19,26.7,0,0,0,,,N,N
C_5,2002,A1,568,C,5,15,26.7,0,0,0,,,N,N
D_1,2002,A1,572,D,1,14,26.7,0,0,0,,,N,N
D_24,2002,A1,576,D,24,15,26.7,0,0,0,,,N,N
E_2,2002,A1,579,E,2,15,26.7,0,0,0,,,N,N
F_13,2002,A1,587,F,13,12,26.7,0,0,0,,,N,N
F_20,2002,A1,588,F,20,18,26.7,5,1,111,,,N,N
F_5,2002,A1,584,F,5,15,26.7,0,0,0,,,N,N
G_9,2002,A1,589,G,9,14,26.7,0,0,0,,,N,N
H_11,2002,A1,593,H,11,20,26.7,0,0,0,,,N,N
H_9,2002,A1,592,H,9,14,26.7,0,0,0,,,N,N
I_8,2002,A1,595,I,8,15,26.7,0,0,0,,,N,N
A_5,2002,A2,564,A,5,22,476.6,0,0,0,,,N,N
C_23,2002,A2,570,C,23,22,476.6,5,1,111,,,N,N
C_4,2002,A2,567,C,4,29,476.6,5,1,111,,,N,N
D_14,2002,A2,575,D,14,25,476.6,5,1,111,,,N,N
D_26,2002,A2,577,D,26,23,476.6,0,0,0,,,N,N
D_4,2002,A2,573,D,4,26,476.6,18,2,123,,,N,N
E_10,2002,A2,582,E,10,30,476.6,5,1,111,,,N,N
E_9,2002,A2,581,E,9,23,476.6,0,0,0,,,N,N
F_1,2002,A2,583,F,1,21,476.6,0,0,0,,,N,N
F_12,2002,A2,586,F,12,30,476.6,18,2,123,,,N,N
F_6,2002,A2,585,F,6,23,476.6,5,1,111,,,N,N
H_16,2002,A2,594,H,16,24,476.6,5,1,111,,,N,N
H_4,2002,A2,590,H,4,25,476.6,5,1,111,,,N,N
H_8,2002,A2,591,H,8,27,476.6,18,2,123,,,N,N
A_2,2002,A3,563,A,2,34,668.1,5,1,111,,,N,N
B_10,2002,A3,565,B,10,33,668.1,5,1,111,,,N,N
C_26,2002,A3,571,C,26,36,668.1,18,2,123,,,N,N
D_28,2002,A3,578,D,28,31,668.1,18,2,123,,,N,N
D_6,2002,A3,574,D,6,33,668.1,18,2,123,,,N,N
E_3,2002,A3,580,E,3,35,668.1,18,2,123,,,N,N
B_6,2002,dead,731,B,6,0,0,0,0,0,,,N,N
B_9,2002,dead,732,B,9,0,0,0,0,0,,,N,N
C_18,2002,dead,733,C,18,0,0,0,0,0,,,N,N
D_16,2002,dead,734,D,16,0,0,0,0,0,,,N,N
D_18,2002,dead,735,D,18,0,0,0,0,0,,,N,N
D_8,2002,dead,736,D,8,0,0,0,0,0,,,N,N
E_11,2002,dead,737,E,11,0,0,0,0,0,,,N,N
F_22,2002,dead,738,F,22,0,0,0,0,0,,,N,N
I_5,2002,dead,739,I,5,0,0,0,0,0,,,N,N
A_2,2003,A1,596,A,2,18,26.7,5,1,111,,,N,N
D_26,2003,A1,604,D,26,20,26.7,5,1,111,,,N,N
F_12,2003,A1,610,F,12,19,26.7,5,1,111,,,N,N
I_8,2003,A1,614,I,8,16,26.7,5,1,111,,,N,N
B_10,2003,A2,597,B,10,28,476.6,18,2,123,,,N,N
B_14,2003,A2,598,B,14,21,476.6,18,2,123,,,N,N
C_23,2003,A2,600,C,23,26,476.6,18,2,123,,,N,N
D_4,2003,A2,602,D,4,24,476.6,5,1,111,,,N,N
E_9,2003,A2,607,E,9,25,476.6,5,1,111,,,N,N
F_6,2003,A2,609,F,6,23,476.6,5,1,111,,,N,N
H_16,2003,A2,613,H,16,21,476.6,18,2,123,,,N,N
H_8,2003,A2,612,H,8,25,476.6,18,2,123,,,N,N
C_26,2003,A3,601,C,26,40,668.1,18,2,123,,,N,N
C_4,2003,A3,599,C,4,33,668.1,18,2,123,,,N,N
D_28,2003,A3,605,D,28,33,668.1,38,3,227,,,N,N
D_6,2003,A3,603,D,6,35,668.1,38,3,227,,,N,N
E_10,2003,A3,608,E,10,36,668.1,18,2,123,,,N,N
E_3,2003,A3,606,E,3,35,668.1,181,4,312,,,N,N
A_5,2003,dead,740,A,5,0,0,0,0,0,,,N,N
C_16,2003,dead,741,C,16,0,0,0,0,0,,,N,N
C_5,2003,dead,742,C,5,0,0,0,0,0,,,N,N
D_1,2003,dead,743,D,1,0,0,0,0,0,,,N,N
D_14,2003,dead,744,D,14,0,0,0,0,0,,,N,N
D_24,2003,dead,745,D,24,0,0,0,0,0,,,N,N
E_2,2003,dead,746,E,2,0,0,0,0,0,,,N,N
F_1,2003,dead,747,F,1,0,0,0,0,0,,,N,N
F_13,2003,dead,748,F,13,0,0,0,0,0,,,N,N
F_20,2003,dead,749,F,20,0,0,0,0,0,,,N,N
F_5,2003,dead,750,F,5,0,0,0,0,0,,,N,N
G_9,2003,dead,751,G,9,0,0,0,0,0,,,N,N
H_11,2003,dead,752,H,11,0,0,0,0,0,,,N,N
H_9,2003,dead,753,H,9,0,0,0,0,0,,,N,N
H_4,2003,J,611,H,4,7,0,0,0,0,,,N,N
A_2,2004,dead,754,A,2,0,0,0,0,0,,,N,N
B_10,2004,dead,755,B,10,0,0,0,0,0,,,N,N
B_14,2004,dead,756,B,14,0,0,0,0,0,,,N,N
C_23,2004,dead,757,C,23,0,0,0,0,0,,,N,N
C_26,2004,dead,758,C,26,0,0,0,0,0,,,N,N
C_4,2004,dead,759,C,4,0,0,0,0,0,,,N,N
D_26,2004,dead,760,D,26,0,0,0,0,0,,,N,N
D_28,2004,dead,761,D,28,0,0,0,0,0,,,N,N
D_4,2004,dead,762,D,4,0,0,0,0,0,,,N,N
D_6,2004,dead,763,D,6,0,0,0,0,0,,,N,N
E_10,2004,dead,764,E,10,0,0,0,0,0,,,N,N
E_3,2004,dead,765,E,3,0,0,0,0,0,,,N,N
E_9,2004,dead,766,E,9,0,0,0,0,0,,,N,N
F_12,2004,dead,767,F,12,0,0,0,0,0,,,N,N
F_6,2004,dead,768,F,6,0,0,0,0,0,,,N,N
H_16,2004,dead,769,H,16,0,0,0,0,0,,,N,N
H_4,2004,dead,770,H,4,0,0,0,0,0,,,N,N
H_8,2004,dead,771,H,8,0,0,0,0,0,,,N,N
I_8,2004,dead,772,I,8,0,0,0,0,0,,,N,N
1_709,2011,A1,9,1,709,14.25,26.7,5,1,111,2,19.5775,N,N
1_705,2011,A1,5,1,705,19,26.7,5,1,111,3,0,N,N
5_762,2011,A1,43,5,762,11,26.7,18,2,123,10,0,N,N
1_708,2011,A1,8,1,708,15,26.7,18,2,123,12,117.465,N,N
3_753,2011,A1,27,3,753,12.5,26.7,18,2,123,16,156.62,N,N
9_305,2011,A1,96,9,305,19,26.7,18,2,123,20,0,N,N
3_755,2011,A1,29,3,755,13.5,26.7,18,2,123,22,0,N,N
7_773,2011,A1,54,7,773,19,26.7,18,2,123,22,0,N,N
7_780,2011,A1,61,7,780,12,26.7,18,2,123,22,0,N,N
4_727,2011,A1,35,4,727,15,26.7,18,2,123,24,0,N,N
7_783,2011,A1,64,7,783,19.5,26.7,38,3,227,26,0,N,N
4_728,2011,A1,36,4,728,17.5,26.7,38,3,227,28,0,N,N
7_784,2011,A1,65,7,784,19,26.7,38,3,227,28,0,N,N
4_726,2011,A1,34,4,726,18.5,26.7,38,3,227,36,0,N,N
9_312,2011,A1,103,9,312,18.75,26.7,38,3,227,38,371.9725,N,N
9_311,2011,A1,102,9,311,17.5,26.7,38,3,227,49,479.64875,N,N
1_716,2011,A1,16,1,716,16.75,26.7,181,4,312,60,587.325,N,N
9_313,2011,A1,104,9,313,19,26.7,5,1,111,0,0,N,N
2_720,2011,A1,19,2,720,19.45,26.7,5,1,111,0,0,N,N
2_722,2011,A1,21,2,722,15.45,26.7,5,1,111,,,N,N
3_751,2011,A1,25,3,751,19.45,26.7,5,1,111,,,N,N
3_756,2011,A1,30,3,756,17.05,26.7,5,1,111,0,0,N,N
7_777,2011,A1,58,7,777,12,26.7,18,2,123,12,0,Y,N
9_304,2011,A1,95,9,304,15.5,26.7,18,2,123,14,137.0425,Y,N
4_725,2011,A1,33,4,725,17.5,26.7,18,2,123,23,225.14125,Y,N
3_757,2011,A1,31,3,757,15,26.7,18,2,123,25,244.71875,Y,N
1_701,2011,A1,1,1,701,19.5,26.7,38,3,227,39,381.76125,Y,N
1_707,2011,A1,7,1,707,20,26.7,38,3,227,44,430.705,Y,N
9_318,2011,A1,109,9,318,20,26.7,181,4,312,53,518.80375,Y,N
7_775,2011,A1,56,7,775,19,26.7,181,4,312,111,1086.55125,Y,N
5_758,2011,A2,39,5,758,25,476.6,5,1,111,2,0,N,N
7_782,2011,A2,63,7,782,22,476.6,5,1,111,7,0,N,N
6_766,2011,A2,47,6,766,27,476.6,18,2,123,24,234.93,N,N
6_767,2011,A2,48,6,767,24,476.6,38,3,227,27,264.29625,N,N
7_793,2011,A2,74,7,793,25.5,476.6,38,3,227,34,,N,N
7_785,2011,A2,66,7,785,22.5,476.6,38,3,227,35,342.60625,N,N
8_732,2011,A2,76,8,732,21.5,476.6,38,3,227,37,0,N,N
7_774,2011,A2,55,7,774,24,476.6,38,3,227,43,0,N,N
8_738,2011,A2,82,8,738,22.5,476.6,38,3,227,44,430.705,N,N
9_306,2011,A2,97,9,306,26,476.6,38,3,227,48,0,N,N
6_772,2011,A2,53,6,772,28,476.6,181,4,312,59,577.53625,N,N
8_733,2011,A2,77,8,733,23.5,476.6,181,4,312,64,0,N,N
1_710,2011,A2,10,1,710,26,476.6,181,4,312,65,636.26875,N,N
1_703,2011,A2,3,1,703,25,476.6,181,4,312,78,763.5225,N,N
1_704,2011,A2,4,1,704,26,476.6,181,4,312,79,773.31125,N,N
7_781,2011,A2,62,7,781,27.5,476.6,181,4,312,79,0,N,N
