PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
C_18,1995,A4,65,C,18,51,1860,181,4,312,,,N,N
D_1,1995,A4,74,D,1,41,1860,38,3,227,,,N,N
E_11,1995,A4,113,E,11,47,1860,181,4,312,,,N,N
E_9,1995,A4,111,E,9,43,1860,181,4,312,,,N,N
F_12,1995,A4,128,F,12,47,1860,181,4,312,,,N,N
H_3,1995,A4,153,H,3,47,1860,181,4,312,,,N,N
B_12,1995,dead,615,B,12,0,0,0,0,0,,,N,N
B_15,1995,dead,616,B,15,0,0,0,0,0,,,N,N
B_17,1995,dead,617,B,17,0,0,0,0,0,,,N,N
B_2,1995,dead,618,B,2,0,0,0,0,0,,,N,N
B_8,1995,dead,619,B,8,0,0,0,0,0,,,N,N
B_16,1995,J,45,B,16,10,0,0,0,0,,,N,N
C_1,1995,J,48,C,1,3,0,0,0,0,,,N,N
C_11,1995,J,58,C,11,9,0,0,0,0,,,N,N
C_13,1995,J,60,C,13,5,0,0,0,0,,,N,N
C_14,1995,J,61,C,14,7,0,0,0,0,,,N,N
C_15,1995,J,62,C,15,6,0,0,0,0,,,N,N
C_16,1995,J,63,C,16,10,0,0,0,0,,,N,N
C_19,1995,J,66,C,19,3,0,0,0,0,,,N,N
C_2,1995,J,49,C,2,4,0,0,0,0,,,N,N
C_20,1995,J,67,C,20,4,0,0,0,0,,,N,N
C_21,1995,J,68,C,21,2,0,0,0,0,,,N,N
C_22,1995,J,69,C,22,7,0,0,0,0,,,N,N
C_24,1995,J,71,C,24,3,0,0,0,0,,,N,N
C_25,1995,J,72,C,25,5,0,0,0,0,,,N,N
C_5,1995,J,52,C,5,6,0,0,0,0,,,N,N
C_6,1995,J,53,C,6,3,0,0,0,0,,,N,N
C_7,1995,J,54,C,7,8,0,0,0,0,,,N,N
C_8,1995,J,55,C,8,5,0,0,0,0,,,N,N
D_11,1995,J,84,D,11,8,0,0,0,0,,,N,N
D_12,1995,J,85,D,12,7,0,0,0,0,,,N,N
D_13,1995,J,86,D,13,9,0,0,0,0,,,N,N
D_16,1995,J,89,D,16,10,0,0,0,0,,,N,N
D_17,1995,J,90,D,17,6,0,0,0,0,,,N,N
D_2,1995,J,75,D,2,4,0,0,0,0,,,N,N
D_20,1995,J,93,D,20,7,0,0,0,0,,,N,N
D_21,1995,J,94,D,21,8,0,0,0,0,,,N,N
D_22,1995,J,95,D,22,6,0,0,0,0,,,N,N
D_23,1995,J,96,D,23,5,0,0,0,0,,,N,N
D_25,1995,J,98,D,25,5,0,0,0,0,,,N,N
D_27,1995,J,100,D,27,9,0,0,0,0,,,N,N
D_3,1995,J,76,D,3,7,0,0,0,0,,,N,N
D_4,1995,J,77,D,4,8,0,0,0,0,,,N,N
D_5,1995,J,78,D,5,7,0,0,0,0,,,N,N
D_9,1995,J,82,D,9,7,0,0,0,0,,,N,N
E_13,1995,J,115,E,13,5,0,0,0,0,,,N,N
E_14,1995,J,116,E,14,6,0,0,0,0,,,N,N
E_4,1995,J,106,E,4,4,0,0,0,0,,,N,N
E_5,1995,J,107,E,5,8,0,0,0,0,,,N,N
E_6,1995,J,108,E,6,4,0,0,0,0,,,N,N
E_7,1995,J,109,E,7,7,0,0,0,0,,,N,N
F_1,1995,J,117,F,1,9,0,0,0,0,,,N,N
F_10,1995,J,126,F,10,6,0,0,0,0,,,N,N
F_14,1995,J,130,F,14,5,0,0,0,0,,,N,N
F_15,1995,J,131,F,15,8,0,0,0,0,,,N,N
F_16,1995,J,132,F,16,9,0,0,0,0,,,N,N
F_17,1995,J,133,F,17,6,0,0,0,0,,,N,N
F_19,1995,J,135,F,19,6,0,0,0,0,,,N,N
F_21,1995,J,137,F,21,3,0,0,0,0,,,N,N
F_3,1995,J,119,F,3,7,0,0,0,0,,,N,N
F_4,1995,J,120,F,4,7,0,0,0,0,,,N,N
